Date,Open,High,Low,Close,Adj Close,Volume
2021-11-15,108.029999,108.669998,106.199997,106.669998,106.354042,6124900
2021-11-16,106.150002,106.209999,102.820000,103.349998,103.043869,11997700
2021-11-17,103.699997,103.879997,101.419998,101.989998,101.687897,8307600
2021-11-18,101.430000,101.800003,99.180000,100.669998,100.371811,8530900
2021-11-19,99.800003,100.739998,99.300003,99.959999,99.663918,6603300
2021-11-22,100.470001,101.970001,100.279999,101.040001,100.740715,6206600
2021-11-23,101.779999,102.209999,101.150002,102.080002,101.777641,6011400
2021-11-24,101.860001,102.320000,101.309998,102.230003,101.927193,5572100
2021-11-26,96.660004,98.099998,95.510002,97.839996,97.550194,8607600
2021-11-29,99.269997,100.430000,96.830002,98.400002,98.108543,9776600
2021-11-30,96.639999,97.430000,94.470001,94.989998,94.708633,11409400
2021-12-01,96.550003,96.889999,92.940002,93.000000,92.724533,8657100
2021-12-02,94.199997,95.779999,92.809998,95.230003,94.947937,6094600
2021-12-03,95.129997,95.349998,91.730003,92.769997,92.495216,8082800
2021-12-06,93.849998,96.889999,93.239998,96.010002,95.725616,6679900
2021-12-07,96.599998,98.330002,96.300003,97.550003,97.261063,5049000
2021-12-08,97.550003,98.940002,96.980003,98.279999,97.988892,4756800
2021-12-09,97.769997,98.190002,97.000000,97.830002,97.540230,4066700
2021-12-10,98.089996,98.559998,96.449997,96.949997,96.662827,4276300
2021-12-13,95.970001,96.400002,92.820000,93.129997,92.854141,7378600
2021-12-14,92.750000,94.059998,91.720001,92.110001,91.837166,7260800
2021-12-15,92.220001,92.410004,90.180000,92.080002,91.807266,7694500
2021-12-16,92.519997,94.339996,92.199997,92.529999,92.255920,7127400
2021-12-17,92.449997,93.070000,90.110001,91.449997,91.179123,9065000
2021-12-20,90.000000,90.099998,88.169998,89.980003,89.792030,6013200
2021-12-21,90.720001,93.669998,90.720001,93.059998,92.865593,7617700
2021-12-22,92.919998,93.709999,92.160004,93.070000,92.875572,4663900
2021-12-23,93.300003,94.540001,93.300003,94.000000,93.803635,3885500
2021-12-27,93.629997,94.669998,93.449997,94.620003,94.422340,3428900
2021-12-28,94.430000,96.080002,94.239998,95.300003,95.100922,4051900
2021-12-29,95.000000,95.480003,94.440002,94.790001,94.591980,3490500
2021-12-30,94.660004,95.980003,94.529999,94.699997,94.502159,3269000
